conversation,cluster_final,cluster_name,timestamp,failure_mode,in_scope
can you find a healthcare whitpaper,3,Miscellaneous/Testing,2025-11-06T15:51:27.512333,No-Hit (Out-of-Scope),No
what does ola stand for?,2,Corporate Mixed Queries,2025-11-06T15:45:18.247836,No-Hit (Out-of-Scope),Partial
how secure nexus is?,2,Corporate Mixed Queries,2025-11-06T14:52:57.069768,No-Hit (Out-of-Scope),Partial
single use plastics,2,Corporate Mixed Queries,2025-11-06T14:52:13.028846,No-Hit (Out-of-Scope),Partial
are you able to find me is there is a list of connectivity providers for the madrid campus?,4,Site Discovery & Location Queries,2025-11-06T11:52:12.090337,,Yes
can you word the above response into a rfp response,3,Miscellaneous/Testing,2025-11-06T10:06:31.603892,No-Hit (Out-of-Scope),No
can you analyze the drawing and give me the area of the cage?,3,Miscellaneous/Testing,2025-11-06T02:11:42.718975,No-Hit (Out-of-Scope),No
can you give me the area of each cage ?,2,Corporate Mixed Queries,2025-11-06T02:10:54.369912,No-Hit (Out-of-Scope),Partial
please provide the Compass document,3,Miscellaneous/Testing,2025-11-05T18:17:25.321869,No-Hit (Out-of-Scope),No
how many customers currently use servicefabric?,1,Connectivity & Cross-Connects,2025-11-05T17:47:02.163244,,Yes
give me more,2,Corporate Mixed Queries,2025-11-05T17:19:48.053172,No-Hit (Out-of-Scope),Partial
"Can you provide a market overview for Marseille, France including DLR's competitive value proposition, key competitors - their strengths and weaknesses, power rates, our connectivity options, cloud on-ramps, sub-sea cables, and any other relevant market intel that would benefit a sales person.",4,Site Discovery & Location Queries,2025-11-05T16:32:29.640360,,Yes
it doesnt work,2,Corporate Mixed Queries,2025-11-05T15:44:19.637579,No-Hit (Out-of-Scope),Partial
"=IF('Sheet1 - Report'!L3="""";"""";'Sheet1 - Report'!L3)",3,Miscellaneous/Testing,2025-11-05T12:30:13.652751,No-Hit (Out-of-Scope),No
"improve this formula so that in case the cell is either empty or 0, put empty",3,Miscellaneous/Testing,2025-11-05T12:29:57.596297,No-Hit (Out-of-Scope),No
and pue by design?,2,Corporate Mixed Queries,2025-11-05T09:51:25.961693,No-Hit (Out-of-Scope),Partial
can you find our iso document with the number: 12-333 and read that ?,3,Miscellaneous/Testing,2025-11-05T07:44:11.056809,No-Hit (Out-of-Scope),No
can you help with the danish iso document and read them ?,3,Miscellaneous/Testing,2025-11-05T07:43:12.399699,No-Hit (Out-of-Scope),No
what are the new builds coming online,4,Site Discovery & Location Queries,2025-11-05T00:47:13.122784,,Yes
what is the virginia deployment coming online,4,Site Discovery & Location Queries,2025-11-05T00:34:25.965492,,Yes
what state is this,2,Corporate Mixed Queries,2025-11-05T00:04:12.706232,No-Hit (Out-of-Scope),Partial
where is there 10mw now,0,German Language - Mixed Content,2025-11-04T23:34:43.740201,Language Barrier + Mixed Scope,Partial
what are the best sites for a workload needing liquid cooled in 10 mw,0,German Language - Mixed Content,2025-11-04T23:33:19.650188,Language Barrier + Mixed Scope,Partial
where can i get 5mw,0,German Language - Mixed Content,2025-11-04T23:24:06.137795,Language Barrier + Mixed Scope,Partial
i need a downloadable pdj,3,Miscellaneous/Testing,2025-11-04T23:20:58.652247,No-Hit (Out-of-Scope),No
where can i put a 10mw deployment,0,German Language - Mixed Content,2025-11-04T23:11:28.396709,Language Barrier + Mixed Scope,Partial
yes i want the downloadable excel list now,3,Miscellaneous/Testing,2025-11-04T20:49:16.490897,No-Hit (Out-of-Scope),No
yes i want a full list in an excel downloadable format that i can share,3,Miscellaneous/Testing,2025-11-04T20:48:30.225673,No-Hit (Out-of-Scope),No
can you send this list so i can download it,3,Miscellaneous/Testing,2025-11-04T20:17:17.754130,No-Hit (Out-of-Scope),No
in the usa,2,Corporate Mixed Queries,2025-11-04T19:20:28.393279,No-Hit (Out-of-Scope),Partial
how can i obtain a copy of our global nda?,3,Miscellaneous/Testing,2025-11-04T17:06:50.545944,No-Hit (Out-of-Scope),No
"hello, how can i increase my salary?",2,Corporate Mixed Queries,2025-05-28T09:18:41.856579,No-Hit (Out-of-Scope),Partial
could you analyze the following Text and provide a short summary ?,3,Miscellaneous/Testing,2025-11-04T12:52:17.137584,No-Hit (Out-of-Scope),No
do you know nicolai kofoed?,2,Corporate Mixed Queries,2025-11-04T10:36:45.489957,No-Hit (Out-of-Scope),Partial
how much wattage is there in cph1 in denmark,0,German Language - Mixed Content,2025-11-04T10:15:53.985421,Language Barrier + Mixed Scope,Partial
"What is the PUE target under lower loads? (eg. 1.25 at 100%, what about 50%?)",0,German Language - Mixed Content,2025-11-04T07:09:25.372557,Language Barrier + Mixed Scope,Partial
What are the planned max rack densities?  How do you plan for technology refreshes?,0,German Language - Mixed Content,2025-11-04T07:01:08.302083,Language Barrier + Mixed Scope,Partial
"hi, can you provide me with some impressive stats on north american operations ? total mw",0,German Language - Mixed Content,2025-11-04T05:12:06.377291,Language Barrier + Mixed Scope,Partial
Have we won a deal with Coreweave,2,Corporate Mixed Queries,2025-11-03T16:54:22.334441,No-Hit (Out-of-Scope),Partial
"i mean you, nexus's development",2,Corporate Mixed Queries,2025-11-03T14:49:57.267237,No-Hit (Out-of-Scope),Partial
do you use any ai agnt,2,Corporate Mixed Queries,2025-11-03T14:48:25.831614,No-Hit (Out-of-Scope),Partial
"explain to me in detailed, how nexus is developed",2,Corporate Mixed Queries,2025-11-03T14:43:32.610732,No-Hit (Out-of-Scope),Partial
what is ServiceFabic,1,Connectivity & Cross-Connects,2025-11-03T14:39:24.678372,,Yes
so you can visit BMS API?,2,Corporate Mixed Queries,2025-11-03T14:35:37.662913,No-Hit (Out-of-Scope),Partial
how were you develop,2,Corporate Mixed Queries,2025-11-03T14:32:34.680067,No-Hit (Out-of-Scope),Partial
what can you do,2,Corporate Mixed Queries,2025-11-03T14:31:55.146816,No-Hit (Out-of-Scope),Partial
"what is the name of the portal where clients can request cross-connections, remote hands and monitor the power consumption of their equipment?",4,Site Discovery & Location Queries,2025-11-03T14:16:21.807815,,Yes
price book,2,Corporate Mixed Queries,2025-11-03T13:56:05.528866,No-Hit (Out-of-Scope),Partial
What is the sense of Nexus Digital?,2,Corporate Mixed Queries,2025-11-03T13:48:53.332566,No-Hit (Out-of-Scope),Partial
is there a place where i can down oad it directly?,2,Corporate Mixed Queries,2025-11-03T11:16:09.398651,No-Hit (Out-of-Scope),Partial
and if it is no onramp?,2,Corporate Mixed Queries,2025-11-03T10:18:33.129017,No-Hit (Out-of-Scope),Partial
what about azure?,2,Corporate Mixed Queries,2025-11-03T10:17:25.255466,No-Hit (Out-of-Scope),Partial
which capacity is available in singapure?,0,German Language - Mixed Content,2025-11-03T09:49:00.602399,Language Barrier + Mixed Scope,Partial
kan man säga så härfick en fråga från min chef om ni gör en selectivity test också?,2,Corporate Mixed Queries,2025-11-03T08:41:00.976184,No-Hit (Out-of-Scope),Partial
how many customers do we have in cph1?,0,German Language - Mixed Content,2025-11-03T07:59:34.471543,Language Barrier + Mixed Scope,Partial
hej kan du dansk?,2,Corporate Mixed Queries,2025-11-03T07:58:28.802022,No-Hit (Out-of-Scope),Partial
how much power capacity does coreweave have?,0,German Language - Mixed Content,2025-10-31T17:26:49.798170,Language Barrier + Mixed Scope,Partial
action bulletin includinf microsoft,3,Miscellaneous/Testing,2025-10-31T16:36:23.281070,No-Hit (Out-of-Scope),No
provide me and AT&T executive summary,3,Miscellaneous/Testing,2025-10-31T15:38:18.122326,No-Hit (Out-of-Scope),No
summarize the file,3,Miscellaneous/Testing,2025-10-31T14:27:21.747082,No-Hit (Out-of-Scope),No
"please make the analysis as above but up to the  Total Corporate G&A Expense, please exclude depreciations and amortizations , the provide a graph with the main deviations as a waterfall in power point",3,Miscellaneous/Testing,2025-10-31T08:41:23.389146,No-Hit (Out-of-Scope),No
"please analye the figures YTD comparative and baseline, create a table with the highest deviations and the source (e.g. GL), creat then a waterfall graph using the toplines",3,Miscellaneous/Testing,2025-10-31T08:37:37.675691,No-Hit (Out-of-Scope),No
"Please analyze Page 19 of the attached, create a waterfall graph",3,Miscellaneous/Testing,2025-10-31T08:29:53.808040,No-Hit (Out-of-Scope),No
analyze page 18 of the attached file and create a waterfal between Budget and Actuals,3,Miscellaneous/Testing,2025-10-31T08:25:08.440230,No-Hit (Out-of-Scope),No
Please calcilate deviations between actual and budget,3,Miscellaneous/Testing,2025-10-31T08:19:42.991589,No-Hit (Out-of-Scope),No
what is the capacity of the freight elevator at kix13 in japan?,0,German Language - Mixed Content,2025-10-31T02:20:50.288475,Language Barrier + Mixed Scope,Partial
can you help me with competitor intelingece?,2,Corporate Mixed Queries,2025-10-30T15:38:49.745395,No-Hit (Out-of-Scope),Partial
"Please summarize the file I am sharing now, 'DOCX_TestPage.docx.'",3,Miscellaneous/Testing,2025-09-16T15:26:26.182687,No-Hit (Out-of-Scope),No
What species of oak do you suggest for a smoked brisket?,2,Corporate Mixed Queries,2025-09-16T15:25:45.737093,No-Hit (Out-of-Scope),Partial
"can you draft me a response to this  question, pleease?""insurance coverage (types and limits).",3,Miscellaneous/Testing,2025-10-29T17:26:11.865766,No-Hit (Out-of-Scope),No
please correct this: The wether is good today.,2,Corporate Mixed Queries,2025-10-29T15:53:20.125509,No-Hit (Out-of-Scope),Partial
"i mean, do you have api for nexus",2,Corporate Mixed Queries,2025-10-29T15:18:26.868397,No-Hit (Out-of-Scope),Partial
what is servicefabric™ platform,1,Connectivity & Cross-Connects,2025-10-29T15:17:31.331624,,Yes
do you have api,2,Corporate Mixed Queries,2025-10-29T15:16:19.451056,No-Hit (Out-of-Scope),Partial
What is a good rub recipe for brisket??,2,Corporate Mixed Queries,2025-09-16T15:04:28.743910,No-Hit (Out-of-Scope),Partial
Show me the technical guide for deploying Fabric Interconnect,4,Site Discovery & Location Queries,2025-09-18T12:25:34.081122,,Yes
give me a summary of service fabric,1,Connectivity & Cross-Connects,2025-10-27T14:05:52.905981,,Yes
"no, it is not operational anymore!",2,Corporate Mixed Queries,2025-10-29T08:28:02.401065,No-Hit (Out-of-Scope),Partial
is it still operational?,2,Corporate Mixed Queries,2025-10-29T08:27:35.661460,No-Hit (Out-of-Scope),Partial
how can i use this?,2,Corporate Mixed Queries,2025-10-29T02:49:07.234850,No-Hit (Out-of-Scope),Partial
where did you pull the above data from?,3,Miscellaneous/Testing,2025-10-28T19:34:22.010362,No-Hit (Out-of-Scope),No
how much space and power is available for lease at 2323 bryan street?,0,German Language - Mixed Content,2025-10-28T19:23:12.470377,Language Barrier + Mixed Scope,Partial
what does service fabric do?,1,Connectivity & Cross-Connects,2025-10-28T18:51:06.529152,,Yes
what are footprints?,2,Corporate Mixed Queries,2025-10-28T18:34:18.588807,No-Hit (Out-of-Scope),Partial
"show count of cages, cabinets and racks by customer for DFW10",0,German Language - Mixed Content,2025-10-28T18:32:45.233363,Language Barrier + Mixed Scope,Partial
where do I have US avaiability for 300 & 400 KW deployments,0,German Language - Mixed Content,2025-10-28T15:54:51.348671,Language Barrier + Mixed Scope,Partial
what is the load limit for dfw35 per square foot,0,German Language - Mixed Content,2025-10-28T15:54:09.891555,Language Barrier + Mixed Scope,Partial
what is the open capacity in atlanta,0,German Language - Mixed Content,2025-10-28T15:53:12.358280,Language Barrier + Mixed Scope,Partial
what is incident?,2,Corporate Mixed Queries,2025-10-28T15:40:28.419662,No-Hit (Out-of-Scope),Partial
How much colo space do we have in Tokyo,0,German Language - Mixed Content,2025-10-28T11:58:14.822943,Language Barrier + Mixed Scope,Partial
provide a graph of this information,3,Miscellaneous/Testing,2025-10-28T11:05:17.945427,No-Hit (Out-of-Scope),No
Please provide a custom master portfolio for a presentation,3,Miscellaneous/Testing,2025-10-27T20:41:50.019341,No-Hit (Out-of-Scope),No
summarize the attached file,3,Miscellaneous/Testing,2025-10-27T19:09:04.486486,No-Hit (Out-of-Scope),No
How are you today?,2,Corporate Mixed Queries,2025-08-04T12:41:39.561499,No-Hit (Out-of-Scope),Partial
"Edits
Colocation on DLR global platform
What service fabric is
Stand up port to get service into third party destinations
open and 
enables access from data centers to third party destinations.
Couldn't have done this with another service provider

ivision ordered service fabrrc port and stood it up in our portal, ordered Naas on lumen, created a token that stood up internet connection for customer.

50% DLR and 50% Lumen

Needed to spin up internet on demand to resume data transfer.

Enabling service fabric ports allowed connection and access to third party destinations. 

Colocation,
Fabric enabled nextgen data center. 

ivision had project with end user customer and they ran into an outage issue. Werent able to complete the data transfer until they went 50/50. Prevent service disruption, meet customer objective, maintain credibility, high performance etc.",1,Connectivity & Cross-Connects,2025-10-27T15:01:36.680302,,Yes
I need help updating a joint partner case study to illustrate our unique value proposition,3,Miscellaneous/Testing,2025-10-27T14:59:59.405419,No-Hit (Out-of-Scope),No
give me a recipe for bangers and mash,2,Corporate Mixed Queries,2025-10-27T14:06:53.520430,No-Hit (Out-of-Scope),Partial
what are some tips for writing an effective prompt,3,Miscellaneous/Testing,2025-10-06T12:42:47.993520,No-Hit (Out-of-Scope),No
Where is ServiceFabric available in Texas?,1,Connectivity & Cross-Connects,2025-09-25T11:54:59.317153,,Yes
how many kw is bldg p installed (total capacity)?,0,German Language - Mixed Content,2025-10-27T14:02:12.642738,Language Barrier + Mixed Scope,Partial
how many megawatts is bldg p designed to?,0,German Language - Mixed Content,2025-10-27T14:01:29.956263,Language Barrier + Mixed Scope,Partial
Provide this summary as a questionnaire template,3,Miscellaneous/Testing,2025-10-27T04:37:12.197806,No-Hit (Out-of-Scope),No
"Club the below common questions 

1. **Current Network Architecture:** What is the existing setup for Sri Lanka traffic? Dedicated links, MPLS, or over internet?
2. **Latency Sensitivity:** What are the critical latency benchmarks for their applications serving Sri Lanka?
3. **Bandwidth & Redundancy Needs:** Preferred committed bandwidth (1G, 10G, 100G)? Required SLA? Redundant paths?
4. **Cloud Platform Use:** Are applications hybrid/multi-cloud? Interest in direct cloud on-ramps?
5. **Pricing Targets:** Is there an established budget or TCO model for data center, connectivity, and cross-border links?
6. **Compliance & Security:** Any regulatory requirements (data sovereignty, insurance, DR)?
1.	What is the current connectivity/latency from Singapore?
2.	Yes, we can share the connectivity solutions from Chennai to Colombo, Sri Lanka (Enterprise Investment District), however please share the B-end landing location in Sri Lanka? 
3.	We do have some vendors who can provide the services please share the required bandwidth options / expected latency / expected budget.
4.	What is the type of required bandwidth, is it managed by ILL or MPLS..?",4,Site Discovery & Location Queries,2025-10-27T04:34:02.718725,,Yes
"What questions t o ask for this inquiry 
Donald and I have a customer potentially interested in Chennai. 

They have a large presence in Sri Lanka and today are currently hosted in Singapore to manage Sri Lanka.

Does Chennai offer a better option for connectivity/latency versus what they are doing today from Singapore?

Are there any details you can share on what connectivity solutions exist from Chennai to Colombo, Sri Lanka (Enterprise Investment District)  

We are hoping to learn what providers/ bandwidth options / expected latency / appx pricing, if possible.",4,Site Discovery & Location Queries,2025-10-27T04:28:48.240404,,Yes
please export the deck into a downloadable pptx file in power point,3,Miscellaneous/Testing,2025-10-27T01:13:34.011325,No-Hit (Out-of-Scope),No
provide deck created above in downloaded version,3,Miscellaneous/Testing,2025-10-27T01:12:28.259744,No-Hit (Out-of-Scope),No
Yes please create editable pptx template with prefilled contect slides,3,Miscellaneous/Testing,2025-10-27T01:11:02.731937,No-Hit (Out-of-Scope),No
Please design the editable deck utilizing the DLR logo and color scheme with tailored slide titles,3,Miscellaneous/Testing,2025-10-27T01:10:14.370938,No-Hit (Out-of-Scope),No
Please convert into a ppt deck,3,Miscellaneous/Testing,2025-10-27T01:07:20.897819,No-Hit (Out-of-Scope),No
personalize the above presentation utilizing experience and accomplishments in the attached resume,3,Miscellaneous/Testing,2025-10-27T00:33:11.505351,No-Hit (Out-of-Scope),No
please rewrite this power point to incorporate the experience in my resume as well as the experience in this job description. The audience will be for a panel interview with the Sr. VP of Global operations at a Data Center and Sr. Director of Global Hyperscale Customer Success.,3,Miscellaneous/Testing,2025-10-26T22:26:34.363257,No-Hit (Out-of-Scope),No
You there?,2,Corporate Mixed Queries,2025-09-09T15:35:03.712549,No-Hit (Out-of-Scope),Partial
what is the count of all the sites marked as HD capable,0,German Language - Mixed Content,2025-10-24T19:58:02.557655,Language Barrier + Mixed Scope,Partial
"can we locate a suite that can support a 10kw cabinet that can access ibm cloud directly? 1231 alma and 1210 integrity are the usually landing suites, is that correct?",0,German Language - Mixed Content,2025-10-24T00:28:44.277388,Language Barrier + Mixed Scope,Partial
i mean you - digitl nexus 2.0,2,Corporate Mixed Queries,2025-10-23T19:56:24.146449,No-Hit (Out-of-Scope),Partial
what are your capabilities,2,Corporate Mixed Queries,2025-10-23T19:55:54.236596,No-Hit (Out-of-Scope),Partial
how is service fabric different from ordering on the global portal?,1,Connectivity & Cross-Connects,2025-10-23T18:39:02.207282,,Yes
what does pbb stand for?,2,Corporate Mixed Queries,2025-10-23T15:42:51.357490,No-Hit (Out-of-Scope),Partial
can i upload excel files yet,3,Miscellaneous/Testing,2025-10-23T15:17:10.320216,No-Hit (Out-of-Scope),No
where's #3?,2,Corporate Mixed Queries,2025-10-23T09:27:04.591452,No-Hit (Out-of-Scope),Partial
which has the most bookings in 2025?,0,German Language - Mixed Content,2025-10-23T09:26:23.526995,Language Barrier + Mixed Scope,Partial
cph-1 capacity,0,German Language - Mixed Content,2025-10-23T09:06:49.070882,Language Barrier + Mixed Scope,Partial
what's the best way to send a large file externally,3,Miscellaneous/Testing,2025-10-22T22:54:07.217416,No-Hit (Out-of-Scope),No
tell me about servicefabric,1,Connectivity & Cross-Connects,2025-10-22T21:57:23.568980,,Yes
stock trading black our periods,2,Corporate Mixed Queries,2025-10-22T20:10:42.267194,No-Hit (Out-of-Scope),Partial
serviceexchange is servicefabric?,1,Connectivity & Cross-Connects,2025-10-22T19:49:14.431239,,Yes
this for rutgers who has an existing deployment with equinix at ny7,4,Site Discovery & Location Queries,2025-10-22T19:48:04.779538,,Yes
How many sites are between 9500 and 10500 kW of power?,0,German Language - Mixed Content,2025-10-22T15:44:09.957476,Language Barrier + Mixed Scope,Partial
How many sites do we have globally with a similiar profile?,2,Corporate Mixed Queries,2025-10-22T15:43:11.325423,No-Hit (Out-of-Scope),Partial
What is the IT Load capacity of FRA14?,0,German Language - Mixed Content,2025-10-22T15:42:34.683976,Language Barrier + Mixed Scope,Partial
why do we not follow ashrae standards,2,Corporate Mixed Queries,2025-10-22T15:00:38.432285,No-Hit (Out-of-Scope),Partial
who are member of that team?,2,Corporate Mixed Queries,2025-10-22T14:50:46.584172,No-Hit (Out-of-Scope),Partial
With who should I talk to get more info about ZAG1,2,Corporate Mixed Queries,2025-10-22T14:50:01.964776,No-Hit (Out-of-Scope),Partial
what do you know about ZAG1 site?,2,Corporate Mixed Queries,2025-10-22T14:49:12.271177,No-Hit (Out-of-Scope),Partial
Jeli razumiješ i hrvatski jezik?,2,Corporate Mixed Queries,2025-10-22T14:48:00.477531,No-Hit (Out-of-Scope),Partial
"hello nexus, what can you tell me about yourself. how do you work?",2,Corporate Mixed Queries,2025-10-22T14:46:55.023198,No-Hit (Out-of-Scope),Partial
what is a service fabric port? how does it works?,1,Connectivity & Cross-Connects,2025-10-22T13:34:44.903663,,Yes
"ok, tell me about service fabric and if possible provide me some user cases",1,Connectivity & Cross-Connects,2025-10-22T13:27:59.059936,,Yes
so for example if i ask you what is the power consuption of mad3.3.101 are you able to provide it?,3,Miscellaneous/Testing,2025-10-22T13:25:14.968873,No-Hit (Out-of-Scope),No
"hello, how should i call you?",2,Corporate Mixed Queries,2025-10-22T13:24:08.854461,No-Hit (Out-of-Scope),Partial
which carriers are used to supportservicefabric connections from the US to EMEA?,1,Connectivity & Cross-Connects,2025-10-22T12:57:14.607684,,Yes
what is ServiceFabric's backbone technoloy called when cobbecting US sites to EMEA sites?,1,Connectivity & Cross-Connects,2025-10-22T12:54:28.701770,,Yes
"What is the ServiceFabric backbone technology, is it MPLS?",1,Connectivity & Cross-Connects,2025-10-22T12:52:24.443404,,Yes
the 5 nines,2,Corporate Mixed Queries,2025-10-22T10:52:21.221696,No-Hit (Out-of-Scope),Partial
do you have access to sharepoint files?,3,Miscellaneous/Testing,2025-10-21T18:59:45.755354,No-Hit (Out-of-Scope),No
Please extract text from the attached file,3,Miscellaneous/Testing,2025-10-21T18:32:50.280421,No-Hit (Out-of-Scope),No
I need to extract text from a PDF,3,Miscellaneous/Testing,2025-10-21T18:31:40.279375,No-Hit (Out-of-Scope),No
Please extract text from the Model Adj Screenshots file,3,Miscellaneous/Testing,2025-10-21T18:31:03.789867,No-Hit (Out-of-Scope),No
Can you extract text from the attached file?,3,Miscellaneous/Testing,2025-10-21T18:29:55.798035,No-Hit (Out-of-Scope),No
"yes, in europe",2,Corporate Mixed Queries,2025-10-21T14:04:17.895164,No-Hit (Out-of-Scope),Partial
and 5000 in maximum 6 monhts,2,Corporate Mixed Queries,2025-10-21T14:03:10.922474,No-Hit (Out-of-Scope),Partial
where could i sell 6000 kw in one place in europe ?,0,German Language - Mixed Content,2025-10-21T14:02:25.932617,Language Barrier + Mixed Scope,Partial
what is the best price for a 500kw new contract in paris,0,German Language - Mixed Content,2025-10-21T14:01:10.223367,Language Barrier + Mixed Scope,Partial
"but par means ""paris"", so par13 cannot be in dublin, right ?",2,Corporate Mixed Queries,2025-10-21T13:51:14.749131,No-Hit (Out-of-Scope),Partial
"you're kidding, right ?",2,Corporate Mixed Queries,2025-10-21T13:44:16.450706,No-Hit (Out-of-Scope),Partial
rules of the channel program,2,Corporate Mixed Queries,2025-10-21T13:41:44.508953,No-Hit (Out-of-Scope),Partial
"how do i quote for below? we would like to request a quotation for a cross-connect between sin12 and sin11. could you please provide us with the following details?installation fee:disconnection fee:monthly recurring charge (mrc):troubleshooting fee (per hour, if required):minimum contract term:disconnection notice period:",4,Site Discovery & Location Queries,2025-10-21T03:47:26.151712,,Yes
what does coterminous mean,2,Corporate Mixed Queries,2025-10-21T02:55:24.269625,No-Hit (Out-of-Scope),Partial
Create 2026 Red event on-call schedule broken down by month similiar to this attached on-call 2025 schedule. Keep the on-call partnerships the same,3,Miscellaneous/Testing,2025-10-20T23:16:10.794238,No-Hit (Out-of-Scope),No
can nexus compare address versions within a spreadsheet?,3,Miscellaneous/Testing,2025-10-20T23:05:33.081390,No-Hit (Out-of-Scope),No
what about par13 ?,2,Corporate Mixed Queries,2025-10-20T17:24:15.474298,No-Hit (Out-of-Scope),Partial
available capacity in par10 ?,0,German Language - Mixed Content,2025-10-20T17:20:42.397517,Language Barrier + Mixed Scope,Partial
how many gensets at the Eclairion site south of Paris ?,0,German Language - Mixed Content,2025-10-20T17:17:56.415143,Language Barrier + Mixed Scope,Partial
"valve type for a 4"" size",2,Corporate Mixed Queries,2025-10-20T15:23:13.961461,No-Hit (Out-of-Scope),Partial
is there a valve brand recomended?,2,Corporate Mixed Queries,2025-10-20T15:20:02.449277,No-Hit (Out-of-Scope),Partial
review deg for valve type,2,Corporate Mixed Queries,2025-10-20T15:18:49.112183,No-Hit (Out-of-Scope),Partial
what is the capacity of ams7?,0,German Language - Mixed Content,2025-10-20T14:36:11.738075,Language Barrier + Mixed Scope,Partial
and in Switzerland,2,Corporate Mixed Queries,2025-10-20T11:33:43.451601,No-Hit (Out-of-Scope),Partial
critical spares,2,Corporate Mixed Queries,2025-10-20T11:08:05.699606,No-Hit (Out-of-Scope),Partial
Can you write me a visual basic script to identify double entries on an Excel file?,3,Miscellaneous/Testing,2025-10-18T08:17:16.614493,No-Hit (Out-of-Scope),No
